                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.79696,                0.68376,                 1.0214,                0.67574,                0.44773,                0.50106,                0.36116,                 1.0333,                 1.0962,                 1.2299,              0.0010496,              0.0010496,              0.0010496
                     98,                0.79976,                0.69334,                 1.0222,                0.66615,                0.43984,                0.49795,                0.35919,                 1.0348,                 1.1489,                 1.2303,              0.0010397,              0.0010397,              0.0010397
                     99,                0.80183,                   0.67,                 1.0246,                0.67096,                0.43437,                0.49215,                0.35186,                 1.0338,                 1.1559,                 1.2247,              0.0010298,              0.0010298,              0.0010298
                    100,                0.80019,                0.68898,                 1.0154,                0.65321,                0.45365,                0.50121,                0.36489,                  1.029,                 1.1184,                 1.2125,              0.0010199,              0.0010199,              0.0010199
                    101,                0.78629,                0.66562,                 1.0142,                0.68986,                0.43294,                 0.4931,                0.35696,                 1.0378,                 1.1468,                 1.2253,                0.00101,                0.00101,                0.00101
                    102,                0.78161,                 0.6795,                 1.0051,                0.65547,                0.45759,                0.50513,                0.36955,                 1.0104,                 1.1297,                 1.2058,              0.0010001,              0.0010001,              0.0010001
                    103,                0.78024,                0.66497,                 1.0115,                0.65713,                0.46307,                0.50668,                0.36736,                 1.0178,                 1.0819,                 1.2138,              0.0009902,              0.0009902,              0.0009902
                    104,                0.77339,                0.64752,                 1.0052,                0.72222,                0.42899,                 0.4992,                0.35887,                 1.0171,                 1.1257,                 1.2195,              0.0009803,              0.0009803,              0.0009803
                    105,                 0.7855,                0.66684,                 1.0113,                0.59105,                0.46548,                0.49211,                0.35715,                 1.0209,                 1.1477,                 1.2275,              0.0009704,              0.0009704,              0.0009704
                    106,                0.77798,                0.64167,                  1.007,                0.65218,                0.44773,                0.50039,                0.36573,                0.99769,                 1.1296,                 1.1982,              0.0009605,              0.0009605,              0.0009605
                    107,                0.77369,                0.65718,                 1.0055,                0.68107,                0.43393,                0.49751,                0.35637,                 1.0153,                 1.1317,                 1.2118,              0.0009506,              0.0009506,              0.0009506
                    108,                 0.7726,                0.63819,                 1.0041,                 0.6893,                0.43688,                0.49737,                0.36063,                 1.0125,                 1.1382,                  1.206,              0.0009407,              0.0009407,              0.0009407
                    109,                0.76537,                0.63098,                 1.0048,                0.69309,                 0.4359,                0.50277,                0.36004,                 1.0274,                 1.1445,                 1.2264,              0.0009308,              0.0009308,              0.0009308
                    110,                 0.7794,                0.65092,                 1.0025,                0.68035,                 0.4428,                0.50187,                0.36036,                 1.0028,                 1.1341,                 1.1958,              0.0009209,              0.0009209,              0.0009209
                    111,                0.76758,                0.63451,                0.99737,                0.70332,                0.42998,                0.49918,                0.36432,                  1.003,                 1.1294,                 1.1947,               0.000911,               0.000911,               0.000911
                    112,                0.77498,                0.65362,                 1.0096,                0.68589,                0.43294,                0.50302,                0.36411,                 1.0253,                 1.1398,                 1.2066,              0.0009011,              0.0009011,              0.0009011
                    113,                 0.7547,                  0.619,                0.99029,                0.68067,                0.44565,                0.50515,                0.36738,                 1.0319,                 1.1089,                  1.214,              0.0008912,              0.0008912,              0.0008912
                    114,                0.75146,                0.61165,                0.98873,                0.69724,                0.44969,                0.51124,                0.36876,                 1.0286,                 1.1059,                 1.2317,              0.0008813,              0.0008813,              0.0008813
                    115,                0.75406,                0.61478,                0.98648,                0.71586,                0.43688,                0.51033,                0.36799,                 1.0361,                 1.1069,                 1.2273,              0.0008714,              0.0008714,              0.0008714
                    116,                0.74036,                0.60094,                0.98031,                0.68354,                0.44773,                0.50998,                0.37107,                 1.0321,                 1.1278,                 1.2318,              0.0008615,              0.0008615,              0.0008615
                    117,                0.75609,                0.60246,                0.99668,                0.73951,                0.42505,                 0.5084,                0.36595,                 1.0386,                 1.1338,                 1.2368,              0.0008516,              0.0008516,              0.0008516
                    118,                0.74608,                0.59747,                0.99042,                0.69016,                0.45034,                0.50981,                0.36896,                 1.0243,                 1.1228,                 1.2189,              0.0008417,              0.0008417,              0.0008417
                    119,                0.74396,                0.60472,                0.98308,                0.67559,                0.45594,                0.51199,                  0.371,                 1.0062,                 1.1036,                  1.222,              0.0008318,              0.0008318,              0.0008318
                    120,                0.73463,                0.57909,                0.97958,                0.66886,                0.45168,                0.50421,                0.36771,                 1.0154,                 1.1082,                 1.2226,              0.0008219,              0.0008219,              0.0008219
                    121,                0.74929,                0.59474,                0.99291,                0.67579,                0.45635,                0.50743,                0.36432,                 1.0214,                 1.1233,                 1.2187,               0.000812,               0.000812,               0.000812
                    122,                0.73484,                0.58719,                0.97816,                0.68232,                0.45118,                0.50565,                0.36252,                 1.0252,                 1.1375,                 1.2255,              0.0008021,              0.0008021,              0.0008021
                    123,                0.73844,                 0.5814,                0.98537,                0.68694,                 0.4393,                0.49887,                0.35549,                 1.0211,                 1.1681,                 1.2098,              0.0007922,              0.0007922,              0.0007922
                    124,                0.72383,                0.57533,                0.98014,                0.70908,                0.43491,                 0.5044,                0.36187,                 1.0263,                  1.136,                 1.2319,              0.0007823,              0.0007823,              0.0007823
                    125,                0.72454,                0.57894,                0.97538,                0.66176,                0.45729,                0.50553,                0.36668,                 1.0229,                 1.1438,                 1.2161,              0.0007724,              0.0007724,              0.0007724
                    126,                0.71499,                0.56538,                0.97128,                0.68022,                0.45759,                0.51364,                0.36561,                 1.0333,                  1.127,                 1.2315,              0.0007625,              0.0007625,              0.0007625
                    127,                0.72039,                0.56754,                0.97448,                0.65412,                0.47239,                0.50813,                0.36544,                 1.0245,                 1.1297,                 1.2222,              0.0007526,              0.0007526,              0.0007526
                    128,                0.72924,                0.56962,                0.97732,                0.68368,                0.46548,                0.51157,                0.36635,                 1.0249,                 1.1135,                 1.2134,              0.0007427,              0.0007427,              0.0007427
                    129,                0.70739,                0.55797,                0.97201,                0.70521,                0.44773,                0.51608,                0.37062,                 1.0436,                 1.1063,                 1.2351,              0.0007328,              0.0007328,              0.0007328
                    130,                0.72031,                0.55889,                0.97366,                0.67155,                0.45759,                0.51123,                0.37047,                 1.0097,                 1.1076,                 1.2094,              0.0007229,              0.0007229,              0.0007229
                    131,                0.72439,                0.56023,                0.96989,                0.65389,                0.46746,                0.51246,                0.37183,                 1.0257,                 1.1148,                 1.2109,               0.000713,               0.000713,               0.000713
                    132,                0.71348,                0.54843,                0.97234,                 0.6603,                0.47239,                0.51923,                0.37652,                 1.0237,                 1.0984,                 1.2182,              0.0007031,              0.0007031,              0.0007031
                    133,                0.71021,                 0.5606,                0.97655,                0.66898,                0.48432,                0.52113,                0.38011,                 1.0102,                 1.0708,                 1.2093,              0.0006932,              0.0006932,              0.0006932
                    134,                0.72573,                0.55934,                0.97121,                0.65772,                0.47946,                0.51695,                0.37654,                 1.0098,                 1.0789,                 1.1941,              0.0006833,              0.0006833,              0.0006833
                    135,                0.71371,                0.53987,                0.96836,                0.67177,                 0.4783,                0.51438,                0.37811,                 1.0043,                 1.0923,                 1.2035,              0.0006734,              0.0006734,              0.0006734
                    136,                0.71235,                0.54599,                0.96824,                0.66457,                0.47481,                0.51331,                0.37356,                 1.0103,                 1.0879,                  1.211,              0.0006635,              0.0006635,              0.0006635
                    137,                0.70958,                0.54183,                0.95835,                0.66279,                0.46714,                0.50936,                0.36913,                 1.0226,                 1.1125,                 1.2081,              0.0006536,              0.0006536,              0.0006536
                    138,                0.70364,                0.53134,                0.96069,                 0.7093,                 0.4572,                0.51236,                0.37112,                 1.0193,                 1.1043,                 1.2158,              0.0006437,              0.0006437,              0.0006437
                    139,                0.70873,                0.53486,                0.96419,                0.68732,                0.45308,                0.51183,                0.36923,                 1.0269,                 1.1235,                 1.2165,              0.0006338,              0.0006338,              0.0006338
                    140,                0.68594,                0.52141,                 0.9564,                0.74884,                0.43688,                0.51742,                0.37542,                 1.0217,                 1.0979,                 1.2098,              0.0006239,              0.0006239,              0.0006239
                    141,                0.69849,                0.53095,                0.95892,                0.67457,                0.46252,                0.51466,                0.37528,                 1.0238,                 1.1027,                 1.2118,               0.000614,               0.000614,               0.000614
                    142,                0.68303,                0.51401,                0.95317,                0.68866,                0.46647,                0.51918,                0.37648,                 1.0187,                 1.0958,                 1.2106,              0.0006041,              0.0006041,              0.0006041
                    143,                0.69654,                0.51781,                0.95379,                0.67595,                0.45858,                0.51161,                0.37479,                 1.0189,                 1.1056,                 1.2203,              0.0005942,              0.0005942,              0.0005942
                    144,                0.70234,                0.52066,                0.95836,                 0.6511,                0.46252,                0.50635,                0.36896,                 1.0414,                 1.1386,                 1.2376,              0.0005843,              0.0005843,              0.0005843
                    145,                0.69198,                0.51149,                0.95032,                0.68572,                0.44675,                0.50553,                0.37071,                 1.0282,                 1.1555,                 1.2274,              0.0005744,              0.0005744,              0.0005744
                    146,                0.67401,                0.49688,                0.95428,                0.68619,                0.44379,                0.50386,                0.36829,                  1.032,                 1.1592,                 1.2357,              0.0005645,              0.0005645,              0.0005645
                    147,                0.66999,                0.49616,                 0.9483,                0.70339,                0.44083,                0.50821,                0.37104,                 1.0198,                 1.1526,                 1.2279,              0.0005546,              0.0005546,              0.0005546
                    148,                0.68862,                0.51061,                0.95102,                0.72104,                0.43491,                0.50707,                0.36976,                 1.0273,                 1.1566,                 1.2233,              0.0005447,              0.0005447,              0.0005447
                    149,                0.66613,                0.50038,                0.94892,                 0.6753,                0.45464,                0.50945,                0.37085,                 1.0219,                 1.1556,                 1.2181,              0.0005348,              0.0005348,              0.0005348
